OBOE	biolink:NamedThing
OBOE-SBC	biolink:NamedThing
OBOREL	biolink:NamedThing
OBS	biolink:NamedThing
OCD	biolink:NamedThing
OCDM	biolink:NamedThing
OCE	biolink:NamedThing
OCHV	biolink:NamedThing
OCIMIDO	biolink:NamedThing
OCMR	biolink:NamedThing
OCRE	biolink:NamedThing
OCVDAE	biolink:NamedThing
ODAE	biolink:NamedThing
ODNAE	biolink:NamedThing
OF	biolink:NamedThing
OFSMR	biolink:NamedThing
OGDI	biolink:NamedThing
OGG	biolink:NamedThing
OGG-MM	biolink:NamedThing
OGI	biolink:NamedThing
OGMD	biolink:NamedThing
OGMS	biolink:NamedThing
OGR	biolink:NamedThing
OGROUP	biolink:NamedThing
OGSF	biolink:NamedThing
OHD	biolink:NamedThing
OHMI	biolink:NamedThing
OHPI	biolink:NamedThing
OLAM	biolink:NamedThing
OLATDV	biolink:NamedThing
OM	biolink:NamedThing
OMIM	biolink:NamedThing
OMIT	biolink:NamedThing
OMO	biolink:NamedThing
OMP	biolink:NamedThing
OMRSE	biolink:NamedThing
OMV	biolink:NamedThing
ONE	biolink:NamedThing
ONL-DP	biolink:NamedThing
ONL-MR-DA	biolink:NamedThing
ONL-MSA	biolink:NamedThing
ONL-TASKS	biolink:NamedThing
ONLIRA	biolink:NamedThing
ONS	biolink:NamedThing
ONSTR	biolink:NamedThing
ONTOAD	biolink:NamedThing
ONTOAVIDA	biolink:NamedThing
ONTODM-ALGORITHM	biolink:NamedThing
ONTODM-CORE	biolink:NamedThing
ONTODM-KDD	biolink:NamedThing
ONTODT	biolink:NamedThing
ONTOKBCF	biolink:NamedThing
ONTOLURGENCES	biolink:NamedThing
ONTOMA	biolink:NamedThing
ONTONEO	biolink:NamedThing
ONTOPARON	biolink:NamedThing
ONTOPARON_SOCIAL	biolink:NamedThing
ONTOPBM	biolink:NamedThing
ONTOPNEUMO	biolink:NamedThing
ONTOPSYCHIA	biolink:NamedThing
ONTOREPLICOV	biolink:NamedThing
ONTOSIM	biolink:NamedThing
ONTOSINASC	biolink:NamedThing
ONTOTOX	biolink:NamedThing
ONTOTOXNUC	biolink:NamedThing
OOEVV	biolink:NamedThing
OOSTT	biolink:NamedThing
OPB	biolink:NamedThing
OPD-NAMBOBI	biolink:NamedThing
OPDE	biolink:NamedThing
OPDRE	biolink:NamedThing
OPDRONT	biolink:NamedThing
OPDT	biolink:NamedThing
OPDZIMBABWE	biolink:NamedThing
OPE	biolink:NamedThing
OPL	biolink:NamedThing
OPMI	biolink:NamedThing
